ID	role	entities
679	hero	Paris Accord
679	victim	the United States
679	villain	Donald Trump
681	hero	the Paris climate agreement
681	victim	humans
681	villain	Trump; Trump administration; greenhouse gas emissions
685	hero	Renewables
685	villain	Donald Trump; Republicans
686	hero	the Paris agreement on climate change
686	victim	the poverty-striken
686	villain	the United States
687	victim	Alabama
687	villain	Roy Moore
688	victim	communities affected by climate change; communities hit by natural disasters
688	villain	Trump
689	hero	Climate policy
689	victim	the United States
689	villain	President Donald Trump
690	hero	Obama; Clean Power Plan
690	victim	environment; health risks; human health
690	villain	Pruitt; Trump administration
691	hero	Earth first
691	victim	Earth's Life; Life on earth
691	villain	Capitalists; human over-population pollution; growth
693	hero	Senate panel; US Senate
693	villain	President Donald Trump's
697	hero	Governor Jerry Brown
697	victim	environment (trees etc); Communities; California's agricultural economy
697	villain	drought
700	victim	coastal communities; US climate response
700	villain	the Trump administration
704	victim	Climate science; the scientists that are advising us
704	villain	Administrator Scott Pruitt
705	hero	World Resources Institute
705	victim	Coastal cities
706	hero	Perciasepe
706	victim	Environmental Protection Agency
706	villain	Trump administration; Washington CNN President Donald Trump
708	hero	The Clean Power Plan; Natural Resources Defense Council
708	victim	Americans; Child asthma suffers
708	villain	Pruitt; the EPA
710	hero	Fish and Wildlife Service
710	victim	wildlife conservation; these monuments
710	villain	Trump administration
711	hero	carbon pricing; plan
711	victim	coastal communities
711	villain	the billionaire Republican megadonor
713	hero	Congress; Impeachment Of Scott Pruitt
713	victim	environement; American lives; the United States
713	villain	Scott Pruitt
716	victim	People of Florida
716	villain	Trump administration; Trump dismisses climate change question by contradicting himself on hurricanes Trump; human activity
718	victim	Scientists who believe climate change is caused by humans
718	villain	Fake news
719	villain	Energy Secretary Rick Perry; greenhouse gas emissions
720	victim	Coastal cities; Florida
720	villain	Rising sea levels
722	hero	American state governments; cities; state governments; 25.000 people
722	victim	the U.S.
722	villain	Donald Trump
725	hero	Four Christian church leaders in Montana
725	victim	Montana environment
725	villain	Sen. Steve Daines
726	villain	Fracking
732	hero	The U.S. Nuclear Regulatory Commission NRC
732	victim	Florida; the two nuclear reactors at the Turkey Point plant
732	villain	Hurricane Irma
733	hero	the Paris climate accord
733	victim	the United States; environmental regulation
733	villain	President Donald Trump
734	hero	California state legislature; deal
734	victim	US Climate Policy
734	villain	Donald Trump
737	hero	Laporte
737	victim	environment; waterways
737	villain	the Trump administration
738	hero	Bernie Sanders
738	villain	Trump administration; Donald Trump's
739	hero	the federal government; green infrastructure
739	victim	Homeowners in floodplains
739	villain	climate change; burning of fossil fuels
740	victim	Clean Power Plan
740	villain	The Trump administration
743	hero	Paris Agreement; reduce emissions; cut emissions
743	villain	emissions contained in the Paris agreement
746	victim	Coastal areas; the United States
746	villain	U.S. President Donald Trump
748	victim	Actions to reduce CO2 emissions; Keith; Geoengineering
748	villain	the US administration under Donald Trump
756	hero	decision makers; policy makers; report
756	victim	global ice and snow cover; The Arctic
756	villain	carbon dioxide; greenhouse gases
757	hero	the EU; the landmark Paris agreement
757	villain	Donald Trump; The head of the Environmental Protection Agency
758	victim	the country's health
758	villain	Trump
760	hero	Michael Brune executive director of Sierra Club; the rule
760	victim	drinking water; waterways that provide drinking water; 117 million Americans
760	villain	The Environmental Protection Agency
761	hero	Former Vice President Al Gore; the Paris climate agreement
761	victim	the U.S.
761	villain	Trump
765	victim	the size of 39 named glaciers in Montana; Montana
765	villain	global warming
767	hero	democrats and conservatives; the bipartisan Climate Leadership Council
767	victim	coal miners; polluters
767	villain	greenhouse gas polluters
769	victim	United States environmental policy
770	hero	the Arctic Council; The joint agreement by the Arctic Council
770	victim	the eight Arctic nations
770	villain	President Donald Trump; greenhouse gases
771	villain	increase in temperature; Temperature rises in the Antarctic region; Climate change
779	hero	California
779	victim	the nation's; U.S climate response
779	villain	President Obama's
780	hero	the Paris climate accord
780	victim	the United States
780	villain	President Trump
789	hero	Climate activists; senator
789	victim	human health
789	villain	Trump; Trump administration; The US Environmental Protection Agency's main climate change website
790	victim	Coastal cities; coastal cities
790	villain	an enormous crack in an Antarctic ice shelf
794	victim	the United States
794	villain	Donald Trump
797	hero	everyone at the table at the G-7 summit in Taormina
797	villain	President Trump
800	hero	the 2015 Paris climate agreement
800	victim	the US; the world
800	villain	President Donald Trump
801	hero	Paris Accord; the climate pact
801	victim	the United States; the nation's
801	villain	the Trump administration
802	hero	Trump administration
802	victim	Plan
802	villain	The head of the Environmental Protection Agency; Clean Power Plan
804	hero	Carbon tax; The group
804	villain	carbon emissions
808	villain	the environmental movement
810	hero	The Center for Biological Diversity
810	victim	the US; the US Department of Agriculture USDA
810	villain	the incoming Trump administration; Bianca Moebius-Clune director of soil health
811	victim	scientific communities who conclude that human-caused global warming is a proven fact
811	villain	The Environmental Protection Agency
812	hero	the Paris agreement
812	villain	weather phenomenon; human activities
813	hero	California
813	villain	Donald Trump's; gas and coal companies
814	hero	natural gas; rule
814	villain	coal; companies
820	hero	a US appeals court
820	villain	EPA Administrator Scott Pruitt; The Environmental Protection Agency's
822	hero	Scientific papers casting doubt on global warming
822	villain	greenies; Climate Industrial Complex
823	hero	Trump
823	victim	U.S economy
823	villain	Obama; the Clean Power Plan
824	hero	Secretary of State Rex Tillerson; the Paris Climate Treaty
824	victim	the Arctic Circle; the U.S.
824	villain	President Donald Trump's
825	hero	Nuclear power; Lovelock
825	victim	the planet
825	villain	green propaganda; the stupid bloody academics
828	victim	Manufacturing sectors
828	villain	Musk; government subsidies
832	hero	Climate activists; President Obama's
832	victim	public health; thousands of scientists students and research advocates
832	villain	President Donald Trump's
833	hero	the EPA
833	victim	the United States
833	villain	Schwarzenegger
835	hero	Obama
835	villain	US President Donald Trump
838	hero	Anne Petermann executive director at the Global Justice Ecology Project
838	victim	The environment; Southern states; Portugal
838	villain	the US Department of Agriculture's
840	victim	people in Appalachia; people living near mountaintop mining sites; scientist that were arbitrarily reassigned
840	villain	Trump
843	villain	climate change; Trump administration officials
845	victim	Migratory Songbirds; Policymakers
845	villain	manmade global warming; a new study from Scientific Reports
846	hero	The Paris Agreement
846	victim	Global ecosystems
846	villain	the Pope's; Carbon pollution
847	hero	California water districts
847	victim	California drinking water; public health
847	villain	the Rio Linda Elverta Community Water District; the US government
848	hero	Political leaders
848	victim	Australian and German taxpayers; consumers
848	villain	Paris Agreement; Paris Climate Commitments
850	hero	The Sierra Club
850	victim	7500 Americans; workers who depend on the fossil fuel economy
850	villain	coal
852	hero	Democrats; Senator Jeff Merkley D-OR
852	victim	the world; Puerto Rico
852	villain	Trump administration; EPA appointee William Wehrum; greenhouse gases
857	hero	the Department of Ecology
857	victim	soil; Water; workers; Hanford
857	villain	by Washington River Protection Solutions WRPS
858	victim	25000 people
858	villain	environmental activists; carbon emissions; the Paris Climate Accord
863	hero	the Trump administration; Jerry Brown
863	victim	Car industries
863	villain	California Governor Jerry Brown; Governor Jerry Brown
866	victim	Texan air quality; Texas
866	villain	Hurricane Harvey; Exxon
868	hero	Obama-era regulations; Fox News's Chris Wallace
868	villain	Trump; Scott Pruitt the head of the Environmental Protection Agency; Carbon emissions
869	hero	Washington Governor Jay Inslee D
869	victim	a BNSF train
869	villain	Protesters; a proposed oil terminal
873	victim	Florida
873	villain	Tropical waves' of air; tropical waves
875	hero	ETC; Paris Accord; Green energy
875	victim	energy industry
876	hero	Movement; World Catholic Climate Change Movement
876	villain	Global warming; coal; gas; oil
878	hero	The Center for Biological Diversity Greenpeace and REDOIL lawsuit
878	victim	Alaskan wildlife; animals
878	villain	Trump; Trump administration
880	victim	your grandchildren
880	villain	the carbon cycle; Rothman
882	victim	people and animals in Alaska; Alaska
882	villain	Global warming; warming
883	victim	Western Civilization; Aussie ex-Prime Minister Tony Abbott; Tony Abbott
883	villain	Greens
